shipment_id,order_id,origin_warehouse_id,vehicle_id,shipped_at,expected_arrival,current_eta,status,distance_km
aa18e8d1-d702-447a-a8f1-22846eb92656,b9bf2f46-6184-4e5d-a222-de567f00f44c,3,095480de-2e81-47bd-84f7-d694937d0060,2025-08-28 00:17:00.728600,2025-08-28 01:22:57.497918,2025-08-28 01:22:57.497918,delivered,43.96
5ba0bd91-d665-4178-b7ec-7990a2842bc7,c73375e8-422e-4d0b-ac35-011d3cff184b,2,4d576864-5664-4984-9385-27f16c4f9af4,2025-09-25 01:17:09.125985,2025-09-25 02:51:19.612625,2025-09-25 03:07:19.612625,shipped,62.78
9f52e60b-ea1a-452e-bc0d-31dbe89c3d02,e788abbb-6807-430f-9016-b15b1e32bc36,3,27cc89a2-a2bf-4d15-a000-0a4c1b6da42d,2025-08-19 15:45:41.861891,2025-08-19 17:58:22.831576,2025-08-19 17:58:22.831576,delivered,88.46
e53ce6eb-fc77-4b5f-9f7e-f013777bd4a6,83021583-985c-44a5-a774-a22cb27e247b,1,ed6faa15-925d-43a1-a11f-4f037dbe3c90,2025-07-09 11:57:35.096623,2025-07-09 12:53:57.368788,2025-07-09 12:53:57.368788,delivered,37.58
2d540732-4e48-4f12-8362-89cde14f4ccb,57d460db-ac9f-409a-90fc-213cbfd6419c,1,49b9b32f-e7c3-4ecc-a73f-bd072c1a1274,2025-07-16 08:08:47.382347,2025-07-16 09:31:37.933259,2025-07-16 09:31:37.933259,delivered,55.23
4162b127-c078-4e8b-92a1-e6de4b4c7b57,fa99231e-2499-4016-8444-ceb449d5c039,2,5d6a508d-46fc-4e1c-8415-03819de3ea7e,2025-09-05 02:48:38.336370,2025-09-05 03:36:21.621929,2025-09-05 03:36:21.621929,delivered,31.81
4135ee79-be44-4d52-ac75-bb93903482b5,ad322b2a-e37a-4f24-9995-585b05790225,2,ee901bea-9249-4132-93c1-df62fc2afce6,2025-08-11 12:00:24.878502,2025-08-11 13:11:43.318283,2025-08-11 13:11:43.318283,delivered,47.54
1a17eb05-6bc1-47c1-99e1-1a1b673dd9a0,0517f3c8-6cbc-450d-98fc-52fa381d6dba,1,27395000-e905-40b3-a194-f4eb99f363dc,2025-08-22 23:04:13.165484,2025-08-23 01:04:35.985799,2025-08-23 01:04:35.985799,delivered,80.25
4dc0061e-7fcd-45e0-bc83-9afabeb5d715,3258f115-cf27-4452-af13-4596e8a73824,1,a2f6cecd-6174-4f47-b0b2-255162af0ff6,2025-08-23 02:00:11.070263,2025-08-23 02:09:49.141138,2025-08-23 02:09:49.141138,delivered,6.42
6f749ab7-36d0-4f26-8039-d4364d52dc59,d5fd0782-4e5a-46d8-9d95-8ab3196d38da,3,501290a0-2454-4c9f-9422-0b7bbb3637c7,2025-07-22 07:29:40.554467,2025-07-22 07:49:39.785367,2025-07-22 07:49:39.785367,delivered,13.32
63439789-055c-43f2-9023-eebd774655ca,41c8439a-d003-41d3-8310-97451be7719d,1,ee901bea-9249-4132-93c1-df62fc2afce6,2025-09-11 06:30:31.884064,2025-09-11 07:15:37.840944,2025-09-11 07:15:37.840944,delivered,30.07
e8fab4bc-05c7-44ef-9bbc-d5f0491285d4,b6d8b803-dc68-4c7e-b26e-f23ff8d65302,1,244618d2-3961-405f-bd8d-7d2b5a4ff4e7,2025-09-24 18:16:48.799199,2025-09-24 19:11:11.790852,2025-09-24 19:07:11.790852,shipped,36.26
52c061cd-1f1f-4289-80a3-720a5cc5a855,068a5022-d576-4147-817b-40b2c3788915,2,212d0545-9ef3-484f-8734-adffbee56141,2025-09-13 01:01:35.014126,2025-09-13 01:21:48.189898,2025-09-13 01:21:48.189898,delivered,13.48
ac826de1-8d55-4a4d-9286-e4aaa238b4ba,d6b40879-36a6-4d15-a3e4-f28cb517d754,2,0ffceedb-bfef-46ca-86cb-1714f3769a04,2025-07-15 00:02:26.209198,2025-07-15 00:46:22.326107,2025-07-15 00:46:22.326107,delivered,29.29
456a3a28-6a4f-4a7d-b508-1f108265a607,88edf37a-8fb3-4500-808b-3ae142eefcb1,1,a5942f21-4ca6-4dbb-afe7-158157e12fbc,2025-08-09 03:38:32.858130,2025-08-09 05:20:46.117532,2025-08-09 05:20:46.117532,delivered,68.15
4b7dc0d3-e258-49f4-a55e-67ccec598dc3,40a85272-8f84-4394-8965-712ebf228b0a,1,5e7e5b40-fb5c-4c87-b805-6b835771c300,2025-07-17 11:44:09.408649,2025-07-17 13:08:25.478350,2025-07-17 13:08:25.478350,delivered,56.18
50b05fd7-6892-4d1a-97f1-af3d3e16c321,ee6e6a1b-a432-44e5-a09e-10be1380c49f,2,01bfaf9d-3462-404b-bd89-67dae121d09f,2025-07-26 06:16:08.747657,2025-07-26 06:36:34.312808,2025-07-26 06:14:34.312808,shipped,13.62
dec80805-a6da-4832-a4aa-317eb8c3b0e1,ad54735b-177e-4d94-8bd4-6ea5ed3fbda2,2,27cc89a2-a2bf-4d15-a000-0a4c1b6da42d,2025-09-24 05:56:16.082090,2025-09-24 07:20:32.190878,2025-09-24 07:20:32.190878,delivered,56.18
8668e885-d713-4f68-93ef-17fdd7cc22ff,0e55f8c0-7fff-406c-b8a2-1350741ef9f9,1,d6d37bde-226c-4df1-8706-66cec2613a1e,2025-09-03 21:29:05.277967,2025-09-03 22:47:46.781138,2025-09-03 23:04:46.781138,shipped,52.46
82aab901-32ac-47dc-a4ea-8fe1779a0eaf,80de997d-9c39-4ee2-94d6-16e6354d5136,1,99dee64e-3700-4835-9a7e-6c9f45ceba3e,2025-08-08 08:20:30.727894,2025-08-08 10:33:52.471973,2025-08-08 10:33:52.471973,delivered,88.91
f5798532-9c1a-48ad-a1f5-9aa72f10842e,2b311353-b940-4dda-add7-9b43224e6501,1,7a2bec97-c1e4-48af-ade3-1c36ff6083a8,2025-07-17 21:50:45.669916,2025-07-17 21:59:50.226162,2025-07-17 21:59:50.226162,delivered,6.05
1b531960-1551-414f-bb8e-0af1e98b31d8,26b2fc9b-97bf-4bc0-9171-2fb4e560423f,2,755fba54-0d76-4258-849d-42cbde125bb0,2025-09-27 21:29:20.493262,2025-09-27 22:41:42.752410,2025-09-27 22:41:42.752410,delivered,48.25
40164017-8644-4c87-bce3-72cc3f2454c5,87bd53d0-6ed7-420f-8163-fe4dd1337e10,1,db0bddec-ff69-466f-ba83-3d6b4e235cfd,2025-07-06 12:21:47.382956,2025-07-06 12:54:41.027812,2025-07-06 13:13:41.027812,shipped,21.93
6e1c354a-348e-4f02-b201-7766f9fd3740,5098e915-2566-4843-a2f5-8431478df74d,3,ed6b0653-f261-41b0-b581-4ef7af31723d,2025-08-19 20:53:00.391393,2025-08-19 22:59:35.944539,2025-08-19 22:59:35.944539,delivered,84.4
965e519c-9172-4bfb-b0c4-ebe07d455d18,b610cf74-f44f-47c7-8f83-07101cfd0366,2,1aae51c9-226b-479f-82dd-322761eae6e0,2025-07-11 19:43:38.453342,2025-07-11 20:36:32.296203,2025-07-11 20:36:32.296203,delivered,35.26
ce3393b0-6db8-4af6-a4ca-a835e086411f,d74e75f2-1566-4b5c-b45b-d034feeb4373,1,212d0545-9ef3-484f-8734-adffbee56141,2025-08-07 10:42:01.503947,2025-08-07 11:08:15.636020,2025-08-07 11:08:15.636020,delivered,17.49
56c177a6-b18a-4a4d-b9e4-9333eae08bea,cb12ac46-e2d9-4d64-9e54-d0d0e10f66c0,3,1f4e0b86-b4a0-4cfd-a2b7-16612cb8e272,2025-07-04 18:56:32.061736,2025-07-04 20:46:36.729320,2025-07-04 20:46:36.729320,delivered,73.39
d49aa103-8fb7-4b0b-841c-ff4acfbf1020,ed6df5f8-f19f-4d60-b090-26aa6b215e43,1,65f5bafc-d220-440c-9e7c-875ba1aee266,2025-07-18 16:40:49.443907,2025-07-18 17:58:28.503859,2025-07-18 17:58:28.503859,delivered,51.77
d1838395-cf01-405d-b876-f69ed910e052,a55f3c15-000d-4774-82df-beb255f87537,3,db0bddec-ff69-466f-ba83-3d6b4e235cfd,2025-09-25 08:16:01.024679,2025-09-25 10:38:02.196975,2025-09-25 10:38:02.196975,delivered,94.68
8820a32e-ec27-4833-a517-c408af7da777,82ce9107-00e9-4423-9582-1d68849b9cf8,3,db0bddec-ff69-466f-ba83-3d6b4e235cfd,2025-07-27 11:21:31.057990,2025-07-27 13:50:29.795475,2025-07-27 13:50:29.795475,delivered,99.32
3cd3fc8e-c9f6-42ad-9390-67510ecadbea,c1b4b548-43f6-4307-a3ce-60df19addebc,3,db0bddec-ff69-466f-ba83-3d6b4e235cfd,2025-07-24 23:48:41.694766,2025-07-25 00:22:46.514049,2025-07-25 00:22:46.514049,delivered,22.72
